Source,Type_Code,Inventaire,BMS,latitude,longitude
BBS_FEV2021',A,Presentiel,OUI,47.6420833,-70.6150167
BBS_FEV2021',A,Presentiel,OUI,47.6483,-70.62082
BBS_FEV2021',A,Presentiel,OUI,47.654913,-70.626623
BBS_FEV2021',A,Presentiel,OUI,47.6559055,-71.2323543
BBS_FEV2021',A,Presentiel,OUI,47.659503,-70.626544
BBS_FEV2021',A,Presentiel,OUI,47.66072,-71.236
BBS_FEV2021',A,Presentiel,OUI,47.666239,-70.628029
BBS_FEV2021',A,Presentiel,OUI,47.6674,-71.23506
BBS_FEV2021',A,Presentiel,OUI,47.672795,-70.631131
BBS_FEV2021',A,Presentiel,OUI,47.675,-71.23449
BBS_FEV2021',A,Presentiel,OUI,47.681343,-70.641488
BBS_FEV2021',A,Presentiel,OUI,47.68255,-71.23477
BBS_FEV2021',A,Presentiel,OUI,47.68459,-70.648906
BBS_FEV2021',A,Presentiel,OUI,47.68478,-77.49573
BBS_FEV2021',A,Presentiel,OUI,47.69018,-71.23504
BBS_FEV2021',A,Presentiel,OUI,47.691055,-70.652162
BBS_FEV2021',A,Presentiel,OUI,47.69147,-77.49476
BBS_FEV2021',A,Presentiel,OUI,47.69764,-71.23799
BBS_FEV2021',A,Presentiel,OUI,47.698252,-70.652396
BBS_FEV2021',A,Presentiel,OUI,47.69839,-77.49699
BBS_FEV2021',A,Presentiel,OUI,47.70295,-71.24208
BBS_FEV2021',A,Presentiel,OUI,47.70313,-77.4902
BBS_FEV2021',A,Presentiel,OUI,47.7041,-70.698693
BBS_FEV2021',A,Presentiel,OUI,47.704467,-70.690089
BBS_FEV2021',A,Presentiel,OUI,47.704793,-70.708333
BBS_FEV2021',A,Presentiel,OUI,47.705271,-70.652588
BBS_FEV2021',A,Presentiel,OUI,47.705385,-70.679116
BBS_FEV2021',A,Presentiel,OUI,47.70618,-74.120251
BBS_FEV2021',A,Presentiel,OUI,47.706733,-70.671536
BBS_FEV2021',A,Presentiel,OUI,47.708112,-70.71773
BBS_FEV2021',A,Presentiel,OUI,47.708178,-70.659451
BBS_FEV2021',A,Presentiel,OUI,47.70858,-71.24646
BBS_FEV2021',A,Presentiel,OUI,47.712317,-70.725413
BBS_FEV2021',A,Presentiel,OUI,47.712582,-74.115184
BBS_FEV2021',A,Presentiel,OUI,47.71616,-71.25298
BBS_FEV2021',A,Presentiel,OUI,47.718366,-74.109243
BBS_FEV2021',A,Presentiel,OUI,47.718982,-70.726679
BBS_FEV2021',A,Presentiel,OUI,47.7214872,-71.2604002
BBS_FEV2021',A,Presentiel,OUI,47.725278,-74.108177
BBS_FEV2021',A,Presentiel,OUI,47.725723,-70.724349
BBS_FEV2021',A,Presentiel,OUI,47.72786,-71.26591
BBS_FEV2021',A,Presentiel,OUI,47.731939,-70.72409
BBS_FEV2021',A,Presentiel,OUI,47.732501,-74.111401
BBS_FEV2021',A,Presentiel,OUI,47.7336378,-71.2714637
BBS_FEV2021',A,Presentiel,OUI,47.738354,-74.116527
BBS_FEV2021',A,Presentiel,OUI,47.739201,-70.724102
BBS_FEV2021',A,Presentiel,OUI,47.7400938,-71.27611
BBS_FEV2021',A,Presentiel,OUI,47.742234,-74.123536
BBS_FEV2021',A,Presentiel,OUI,47.746453,-70.721482
BBS_FEV2021',A,Presentiel,OUI,47.74675,-71.27963
BBS_FEV2021',A,Presentiel,OUI,47.747222,-74.130168
BBS_FEV2021',A,Presentiel,OUI,47.75309,-71.28249
BBS_FEV2021',A,Presentiel,OUI,47.753421,-70.718891
BBS_FEV2021',A,Presentiel,OUI,47.754328,-74.13028
BBS_FEV2021',A,Presentiel,OUI,47.75993,-71.2845
BBS_FEV2021',A,Presentiel,OUI,47.760379,-70.717643
BBS_FEV2021',A,Presentiel,OUI,47.761595,-74.12986
BBS_FEV2021',A,Presentiel,OUI,47.764467,-70.720587
BBS_FEV2021',A,Presentiel,OUI,47.7667859,-71.287781
BBS_FEV2021',A,Presentiel,OUI,47.768312,-70.726742
BBS_FEV2021',A,Presentiel,OUI,47.768495,-74.12819
BBS_FEV2021',A,Presentiel,OUI,47.772821,-70.732278
BBS_FEV2021',A,Presentiel,OUI,47.77324,-71.29438
BBS_FEV2021',A,Presentiel,OUI,47.77547,-77.42493
BBS_FEV2021',A,Presentiel,OUI,47.775713,-74.129389
BBS_FEV2021',A,Presentiel,OUI,47.778409,-70.73958
BBS_FEV2021',A,Presentiel,OUI,47.77841,-71.30077
BBS_FEV2021',A,Presentiel,OUI,47.78153,-77.42516
BBS_FEV2021',A,Presentiel,OUI,47.782583,-74.130888
BBS_FEV2021',A,Presentiel,OUI,47.78481,-71.30661
BBS_FEV2021',A,Presentiel,OUI,47.785899,-70.742299
BBS_FEV2021',A,Presentiel,OUI,47.7872,-77.43126
BBS_FEV2021',A,Presentiel,OUI,47.789757,-74.13114
BBS_FEV2021',A,Presentiel,OUI,47.79124,-71.31074
BBS_FEV2021',A,Presentiel,OUI,47.791722,-70.742341
BBS_FEV2021',A,Presentiel,OUI,47.79257,-77.43774
BBS_FEV2021',A,Presentiel,OUI,47.796418,-74.132049
BBS_FEV2021',A,Presentiel,OUI,47.79705,-77.44588
BBS_FEV2021',A,Presentiel,OUI,47.79728,-71.31597
BBS_FEV2021',A,Presentiel,OUI,47.799112,-70.742484
BBS_FEV2021',A,Presentiel,OUI,47.8025,-71.32245
BBS_FEV2021',A,Presentiel,OUI,47.80277,-77.45178
BBS_FEV2021',A,Presentiel,OUI,47.803544,-74.132408
BBS_FEV2021',A,Presentiel,OUI,47.80391,-71.44757
BBS_FEV2021',A,Presentiel,OUI,47.80487,-77.4602
BBS_FEV2021',A,Presentiel,OUI,47.80509,-71.43825
BBS_FEV2021',A,Presentiel,OUI,47.805159,-70.743979
BBS_FEV2021',A,Presentiel,OUI,47.8067731,-71.3297954
BBS_FEV2021',A,Presentiel,OUI,47.80828,-71.45539
BBS_FEV2021',A,Presentiel,OUI,47.80927,-71.4351
BBS_FEV2021',A,Presentiel,OUI,47.80956,-70.750589
BBS_FEV2021',A,Presentiel,OUI,47.8098,-71.46427
BBS_FEV2021',A,Presentiel,OUI,47.81048,-77.4657
BBS_FEV2021',A,Presentiel,OUI,47.810574,-74.130869
BBS_FEV2021',A,Presentiel,OUI,47.8114,-71.42631
BBS_FEV2021',A,Presentiel,OUI,47.81159,-71.41734
BBS_FEV2021',A,Presentiel,OUI,47.81258,-71.33489
BBS_FEV2021',A,Presentiel,OUI,47.81449,-71.40753
BBS_FEV2021',A,Presentiel,OUI,47.81516,-71.50781
BBS_FEV2021',A,Presentiel,OUI,47.81542,-71.47081
BBS_FEV2021',A,Presentiel,OUI,47.81612,-71.51713
BBS_FEV2021',A,Presentiel,OUI,47.81672,-77.46877
BBS_FEV2021',A,Presentiel,OUI,47.817409,-70.75301
BBS_FEV2021',A,Presentiel,OUI,47.817741,-74.131048
BBS_FEV2021',A,Presentiel,OUI,47.8177822,-71.3424237
BBS_FEV2021',A,Presentiel,OUI,47.8182,-71.39813
BBS_FEV2021',A,Presentiel,OUI,47.81829,-71.48006
BBS_FEV2021',A,Presentiel,OUI,47.8206005,-71.500492
BBS_FEV2021',A,Presentiel,OUI,47.82109,-71.48797
BBS_FEV2021',A,Presentiel,OUI,47.82135,-71.38751
BBS_FEV2021',A,Presentiel,OUI,47.821509,-70.761029
BBS_FEV2021',A,Presentiel,OUI,47.82178,-77.46203
BBS_FEV2021',A,Presentiel,OUI,47.82384,-71.49729
BBS_FEV2021',A,Presentiel,OUI,47.8240383,-71.3493928
BBS_FEV2021',A,Presentiel,OUI,47.82409,-74.135957
BBS_FEV2021',A,Presentiel,OUI,47.82412,-71.37963
BBS_FEV2021',A,Presentiel,OUI,47.826973,-70.767597
BBS_FEV2021',A,Presentiel,OUI,47.82701,-77.45515
BBS_FEV2021',A,Presentiel,OUI,47.82918,-71.35422
BBS_FEV2021',A,Presentiel,OUI,47.831134,-74.136988
BBS_FEV2021',A,Presentiel,OUI,47.83118,-71.37662
BBS_FEV2021',A,Presentiel,OUI,47.832429,-70.77384
BBS_FEV2021',A,Presentiel,OUI,47.83361,-77.451
BBS_FEV2021',A,Presentiel,OUI,47.8357,-71.35891
BBS_FEV2021',A,Presentiel,OUI,47.83678,-71.36612
BBS_FEV2021',A,Presentiel,OUI,47.83697,-71.37009
BBS_FEV2021',A,Presentiel,OUI,47.837659,-74.141272
BBS_FEV2021',A,Presentiel,OUI,47.84064,-77.44736
BBS_FEV2021',A,Presentiel,OUI,47.840802,-70.774166
BBS_FEV2021',A,Presentiel,OUI,47.845677,-70.775526
BBS_FEV2021',A,Presentiel,OUI,47.84617,-77.44123
BBS_FEV2021',A,Presentiel,OUI,47.84927,-77.42378
BBS_FEV2021',A,Presentiel,OUI,47.84967,-77.43281
BBS_FEV2021',A,Presentiel,OUI,47.85233,-77.40565
BBS_FEV2021',A,Presentiel,OUI,47.85328,-77.41531
BBS_FEV2021',A,Presentiel,OUI,47.853677,-70.778318
BBS_FEV2021',A,Presentiel,OUI,47.85656,-77.39757
BBS_FEV2021',A,Presentiel,OUI,47.85785,-77.37191
BBS_FEV2021',A,Presentiel,OUI,47.86035,-77.36201
BBS_FEV2021',A,Presentiel,OUI,47.86113,-77.38114
BBS_FEV2021',A,Presentiel,OUI,47.861236,-70.778729
BBS_FEV2021',A,Presentiel,OUI,47.86129,-77.39002
BBS_FEV2021',A,Presentiel,OUI,47.86267,-77.35184
BBS_FEV2021',A,Presentiel,OUI,47.86568,-77.34265
BBS_FEV2021',A,Presentiel,OUI,47.86593,-70.776923
BBS_FEV2021',A,Presentiel,OUI,47.87207,-77.3346
BBS_FEV2021',A,Presentiel,OUI,47.87228,-70.7741
BBS_FEV2021',A,Presentiel,OUI,47.8731,-77.32519
BBS_FEV2021',A,Presentiel,OUI,47.87649,-77.31609
BBS_FEV2021',A,Presentiel,OUI,47.879559,-70.772053
BBS_FEV2021',A,Presentiel,OUI,47.8815,-77.30842
BBS_FEV2021',A,Presentiel,OUI,47.88428,-77.30029
BBS_FEV2021',A,Presentiel,OUI,47.886437,-70.768757
BBS_FEV2021',A,Presentiel,OUI,47.891089,-70.769359
BBS_FEV2021',A,Presentiel,OUI,47.897989,-70.771939
BBS_FEV2021',A,Presentiel,OUI,47.902889,-70.776759
BBS_FEV2021',A,Presentiel,OUI,47.912111,-70.777122
BBS_FEV2021',A,Presentiel,OUI,48.01155,-78.94191
BBS_FEV2021',A,Presentiel,OUI,48.01874,-78.94199
BBS_FEV2021',A,Presentiel,OUI,48.0265,-78.94192
BBS_FEV2021',A,Presentiel,OUI,48.030235,-70.816878
BBS_FEV2021',A,Presentiel,OUI,48.03332,-70.58414
BBS_FEV2021',A,Presentiel,OUI,48.03366,-78.94194
BBS_FEV2021',A,Presentiel,OUI,48.037997,-70.817079
BBS_FEV2021',A,Presentiel,OUI,48.038573,-70.591029
BBS_FEV2021',A,Presentiel,OUI,48.043479,-70.598924
BBS_FEV2021',A,Presentiel,OUI,48.044928,-70.818151
BBS_FEV2021',A,Presentiel,OUI,48.045697,-70.608526
BBS_FEV2021',A,Presentiel,OUI,48.050587,-70.614795
BBS_FEV2021',A,Presentiel,OUI,48.051539,-70.821713
BBS_FEV2021',A,Presentiel,OUI,48.057203,-70.610883
BBS_FEV2021',A,Presentiel,OUI,48.058611,-70.818987
BBS_FEV2021',A,Presentiel,OUI,48.063908,-70.607766
BBS_FEV2021',A,Presentiel,OUI,48.064489,-70.821684
BBS_FEV2021',A,Presentiel,OUI,48.06757,-70.615777
BBS_FEV2021',A,Presentiel,OUI,48.06929,-78.94192
BBS_FEV2021',A,Presentiel,OUI,48.071451,-70.820522
BBS_FEV2021',A,Presentiel,OUI,48.073303,-70.621918
BBS_FEV2021',A,Presentiel,OUI,48.075718,-70.702518
BBS_FEV2021',A,Presentiel,OUI,48.076864,-70.71038
BBS_FEV2021',A,Presentiel,OUI,48.078367,-70.819791
BBS_FEV2021',A,Presentiel,OUI,48.079755,-70.757597
BBS_FEV2021',A,Presentiel,OUI,48.080064,-70.625732
BBS_FEV2021',A,Presentiel,OUI,48.080591,-70.768154
BBS_FEV2021',A,Presentiel,OUI,48.080763,-70.747266
BBS_FEV2021',A,Presentiel,OUI,48.082196,-70.716816
BBS_FEV2021',A,Presentiel,OUI,48.082474,-70.794367
BBS_FEV2021',A,Presentiel,OUI,48.082648,-70.700291
BBS_FEV2021',A,Presentiel,OUI,48.083283,-70.803102
BBS_FEV2021',A,Presentiel,OUI,48.084628,-70.7756
BBS_FEV2021',A,Presentiel,OUI,48.08515,-70.739827
BBS_FEV2021',A,Presentiel,OUI,48.085793,-70.821648
BBS_FEV2021',A,Presentiel,OUI,48.085812,-70.632225
BBS_FEV2021',A,Presentiel,OUI,48.086142,-70.785682
BBS_FEV2021',A,Presentiel,OUI,48.087292,-70.723857
BBS_FEV2021',A,Presentiel,OUI,48.087829,-70.641198
BBS_FEV2021',A,Presentiel,OUI,48.088889,-70.730844
BBS_FEV2021',A,Presentiel,OUI,48.08972,-70.699021
BBS_FEV2021',A,Presentiel,OUI,48.089907,-70.80662
BBS_FEV2021',A,Presentiel,OUI,48.091505,-70.650031
BBS_FEV2021',A,Presentiel,OUI,48.092284,-70.825829
BBS_FEV2021',A,Presentiel,OUI,48.095327,-70.658366
BBS_FEV2021',A,Presentiel,OUI,48.095558,-70.696534
BBS_FEV2021',A,Presentiel,OUI,48.09605,-70.811974
BBS_FEV2021',A,Presentiel,OUI,48.09664,-71.78683
BBS_FEV2021',A,Presentiel,OUI,48.098683,-70.829236
BBS_FEV2021',A,Presentiel,OUI,48.099109,-70.667503
BBS_FEV2021',A,Presentiel,OUI,48.101425,-70.6986
BBS_FEV2021',A,Presentiel,OUI,48.10239,-70.675854
BBS_FEV2021',A,Presentiel,OUI,48.103118,-70.815733
BBS_FEV2021',A,Presentiel,OUI,48.103502,-71.784778
BBS_FEV2021',A,Presentiel,OUI,48.105296,-70.685473
BBS_FEV2021',A,Presentiel,OUI,48.105323,-70.825327
BBS_FEV2021',A,Presentiel,OUI,48.105964,-70.695948
BBS_FEV2021',A,Presentiel,OUI,48.110541,-71.783622
BBS_FEV2021',A,Presentiel,OUI,48.11221,-78.94188
BBS_FEV2021',A,Presentiel,OUI,48.115323,-71.774972
BBS_FEV2021',A,Presentiel,OUI,48.118162,-71.765905
BBS_FEV2021',A,Presentiel,OUI,48.119,-78.942
BBS_FEV2021',A,Presentiel,OUI,48.119272,-71.755046
BBS_FEV2021',A,Presentiel,OUI,48.120074,-71.74587
BBS_FEV2021',A,Presentiel,OUI,48.12538,-71.739204
BBS_FEV2021',A,Presentiel,OUI,48.12572,-78.94192
BBS_FEV2021',A,Presentiel,OUI,48.12768,-78.97216
BBS_FEV2021',A,Presentiel,OUI,48.12768,-78.94995
BBS_FEV2021',A,Presentiel,OUI,48.12771,-78.96
BBS_FEV2021',A,Presentiel,OUI,48.133477,-71.738275
BBS_FEV2021',A,Presentiel,OUI,48.14094,-71.738224
BBS_FEV2021',A,Presentiel,OUI,48.147029,-71.734802
BBS_FEV2021',A,Presentiel,OUI,48.151445,-66.723341
BBS_FEV2021',A,Presentiel,OUI,48.154217,-71.733475
BBS_FEV2021',A,Presentiel,OUI,48.154618,-66.730161
BBS_FEV2021',A,Presentiel,OUI,48.15759,-70.5538
BBS_FEV2021',A,Presentiel,OUI,48.158699,-66.740004
BBS_FEV2021',A,Presentiel,OUI,48.160895,-71.731424
BBS_FEV2021',A,Presentiel,OUI,48.161907,-70.56213
BBS_FEV2021',A,Presentiel,OUI,48.163787,-71.719953
BBS_FEV2021',A,Presentiel,OUI,48.165243,-66.739626
BBS_FEV2021',A,Presentiel,OUI,48.165313,-70.571282
BBS_FEV2021',A,Presentiel,OUI,48.16734,-70.581725
BBS_FEV2021',A,Presentiel,OUI,48.168893,-70.592001
BBS_FEV2021',A,Presentiel,OUI,48.16993,-71.717523
BBS_FEV2021',A,Presentiel,OUI,48.17123,-70.601855
BBS_FEV2021',A,Presentiel,OUI,48.172099,-66.742064
BBS_FEV2021',A,Presentiel,OUI,48.173838,-70.611651
BBS_FEV2021',A,Presentiel,OUI,48.1756607,-79.0360993
